"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Cameroon","Electricity - total net installed capacity of electric power plants, main activity & autoproducer","2019","Kilowatts,  thousand","1668.7",""
"Cameroon","Electricity - total net installed capacity of electric power plants, main activity & autoproducer","2018","Kilowatts,  thousand","1668.7",""
"Cameroon","Electricity - total net installed capacity of electric power plants, main activity & autoproducer","2017","Kilowatts,  thousand","2053.792",""
"Cameroon","Electricity - total net installed capacity of electric power plants, main activity & autoproducer","2016","Kilowatts,  thousand","1944.2","1"
"Cameroon","Electricity - total net installed capacity of electric power plants, main activity & autoproducer","2015","Kilowatts,  thousand","1909.2","1"
"Cameroon","Electricity - total net installed capacity of electric power plants, main activity & autoproducer","2014","Kilowatts,  thousand","1848.2","1"
"Cameroon","Electricity - total net installed capacity of electric power plants, main activity & autoproducer","2013","Kilowatts,  thousand","1676",""
"Cameroon","Electricity - total net installed capacity of electric power plants, main activity & autoproducer","2012","Kilowatts,  thousand","1352.2",""
"Cameroon","Electricity - total net installed capacity of electric power plants, main activity & autoproducer","2011","Kilowatts,  thousand","1299.5",""
"Cameroon","Electricity - total net installed capacity of electric power plants, main activity & autoproducer","2010","Kilowatts,  thousand","1308.1",""
"Cameroon","Electricity - total net installed capacity of electric power plants, main activity & autoproducer","2009","Kilowatts,  thousand","1323",""
"Cameroon","Electricity - total net installed capacity of electric power plants, main activity & autoproducer","2008","Kilowatts,  thousand","1236.9",""
"Cameroon","Electricity - total net installed capacity of electric power plants, main activity & autoproducer","2007","Kilowatts,  thousand","1221.5",""
"Cameroon","Electricity - total net installed capacity of electric power plants, main activity & autoproducer","2006","Kilowatts,  thousand","1039",""
"Cameroon","Electricity - total net installed capacity of electric power plants, main activity & autoproducer","2005","Kilowatts,  thousand","1019",""
"Cameroon","Electricity - total net installed capacity of electric power plants, main activity & autoproducer","2004","Kilowatts,  thousand","1080","1"
"Cameroon","Electricity - total net installed capacity of electric power plants, main activity & autoproducer","2003","Kilowatts,  thousand","1075",""
"Cameroon","Electricity - total net installed capacity of electric power plants, main activity & autoproducer","2002","Kilowatts,  thousand","1065",""
"Cameroon","Electricity - total net installed capacity of electric power plants, main activity & autoproducer","2001","Kilowatts,  thousand","870",""
"Cameroon","Electricity - total net installed capacity of electric power plants, main activity & autoproducer","2000","Kilowatts,  thousand","794",""
"Cameroon","Electricity - total net installed capacity of electric power plants, main activity & autoproducer","1999","Kilowatts,  thousand","817",""
"Cameroon","Electricity - total net installed capacity of electric power plants, main activity & autoproducer","1998","Kilowatts,  thousand","817",""
"Cameroon","Electricity - total net installed capacity of electric power plants, main activity & autoproducer","1997","Kilowatts,  thousand","827","1"
"Cameroon","Electricity - total net installed capacity of electric power plants, main activity & autoproducer","1996","Kilowatts,  thousand","627","1"
"Cameroon","Electricity - total net installed capacity of electric power plants, main activity & autoproducer","1995","Kilowatts,  thousand","627","1"
"Cameroon","Electricity - total net installed capacity of electric power plants, main activity & autoproducer","1994","Kilowatts,  thousand","627","1"
"Cameroon","Electricity - total net installed capacity of electric power plants, main activity & autoproducer","1993","Kilowatts,  thousand","627","1"
