"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Cameroon","Electricity - Gross production","2019","Kilowatt-hours, million","8476.354",""
"Cameroon","Electricity - Gross production","2018","Kilowatt-hours, million","8581.069",""
"Cameroon","Electricity - Gross production","2017","Kilowatt-hours, million","8081.792",""
"Cameroon","Electricity - Gross production","2016","Kilowatt-hours, million","7531",""
"Cameroon","Electricity - Gross production","2015","Kilowatt-hours, million","7985",""
"Cameroon","Electricity - Gross production","2014","Kilowatt-hours, million","6927",""
"Cameroon","Electricity - Gross production","2013","Kilowatt-hours, million","6385",""
"Cameroon","Electricity - Gross production","2012","Kilowatt-hours, million","5488",""
"Cameroon","Electricity - Gross production","2011","Kilowatt-hours, million","5924",""
"Cameroon","Electricity - Gross production","2010","Kilowatt-hours, million","5900",""
"Cameroon","Electricity - Gross production","2009","Kilowatt-hours, million","5784",""
"Cameroon","Electricity - Gross production","2008","Kilowatt-hours, million","5681",""
"Cameroon","Electricity - Gross production","2007","Kilowatt-hours, million","5243",""
"Cameroon","Electricity - Gross production","2006","Kilowatt-hours, million","5106",""
"Cameroon","Electricity - Gross production","2005","Kilowatt-hours, million","4004",""
"Cameroon","Electricity - Gross production","2004","Kilowatt-hours, million","4110",""
"Cameroon","Electricity - Gross production","2003","Kilowatt-hours, million","3684",""
"Cameroon","Electricity - Gross production","2002","Kilowatt-hours, million","3300",""
"Cameroon","Electricity - Gross production","2001","Kilowatt-hours, million","3541",""
"Cameroon","Electricity - Gross production","2000","Kilowatt-hours, million","3480",""
"Cameroon","Electricity - Gross production","1999","Kilowatt-hours, million","3376",""
"Cameroon","Electricity - Gross production","1998","Kilowatt-hours, million","3168",""
"Cameroon","Electricity - Gross production","1997","Kilowatt-hours, million","3128",""
"Cameroon","Electricity - Gross production","1996","Kilowatt-hours, million","2963",""
"Cameroon","Electricity - Gross production","1995","Kilowatt-hours, million","2844",""
"Cameroon","Electricity - Gross production","1994","Kilowatt-hours, million","2776",""
"Cameroon","Electricity - Gross production","1993","Kilowatt-hours, million","2885",""
"Cameroon","Electricity - Gross production","1992","Kilowatt-hours, million","2782",""
"Cameroon","Electricity - Gross production","1991","Kilowatt-hours, million","2746",""
"Cameroon","Electricity - Gross production","1990","Kilowatt-hours, million","2731",""
"Cameroon","From combustible fuels – Main activity","2019","Kilowatt-hours, million","237.183",""
"Cameroon","From combustible fuels – Main activity","2018","Kilowatt-hours, million","293.182",""
"Cameroon","From combustible fuels – Main activity","2017","Kilowatt-hours, million","285.557",""
"Cameroon","From combustible fuels – Main activity","2016","Kilowatt-hours, million","278",""
"Cameroon","From combustible fuels – Main activity","2015","Kilowatt-hours, million","379",""
"Cameroon","From combustible fuels – Main activity","2014","Kilowatt-hours, million","413",""
"Cameroon","From combustible fuels – Main activity","2013","Kilowatt-hours, million","370",""
"Cameroon","From combustible fuels – Main activity","2012","Kilowatt-hours, million","317",""
"Cameroon","From combustible fuels – Main activity","2011","Kilowatt-hours, million","398",""
"Cameroon","From combustible fuels – Main activity","2010","Kilowatt-hours, million","370",""
"Cameroon","From combustible fuels – Main activity","2009","Kilowatt-hours, million","435",""
"Cameroon","From combustible fuels – Main activity","2008","Kilowatt-hours, million","270",""
"Cameroon","From combustible fuels – Main activity","2007","Kilowatt-hours, million","409",""
"Cameroon","From combustible fuels – Main activity","2006","Kilowatt-hours, million","255",""
"Cameroon","From combustible fuels – Main activity","2005","Kilowatt-hours, million","232",""
"Cameroon","From combustible fuels – Main activity","2004","Kilowatt-hours, million","190",""
"Cameroon","From combustible fuels – Main activity","2003","Kilowatt-hours, million","156",""
"Cameroon","From combustible fuels – Main activity","2002","Kilowatt-hours, million","118",""
"Cameroon","From combustible fuels – Main activity","2001","Kilowatt-hours, million","67",""
"Cameroon","From combustible fuels – Main activity","2000","Kilowatt-hours, million","38",""
"Cameroon","From combustible fuels – Main activity","1999","Kilowatt-hours, million","42",""
"Cameroon","From combustible fuels – Main activity","1998","Kilowatt-hours, million","52",""
"Cameroon","From combustible fuels – Main activity","1997","Kilowatt-hours, million","36",""
