"Country Name","Country Code","Indicator Name","Indicator Code","2007","2010","2012","2014","2016","2018",
"Afghanistan","AFG","Ability to track and trace consignments, rank (1=highest performer)","LP.LPI.TRAC.RK","150","128","146","159","155","159",
"Afghanistan","AFG","Ability to track and trace consignments, score (1=low to 5=high)","LP.LPI.TRAC.XQ","1","2.365503","2.095155","1.847776","1.772402","1.697024",
"Afghanistan","AFG","Competence and quality of logistics services, rank (1=highest performer)","LP.LPI.LOGS.RK","150","141","139","152","139","158",
"Afghanistan","AFG","Competence and quality of logistics services, score (1=low to 5=high)","LP.LPI.LOGS.XQ","1.25","2.090449","2.162592","2.119709","2.145073","1.919246",
"Afghanistan","AFG","Ease of arranging competitively priced international shipments, rank (1=highest performer)","LP.LPI.ITRN.RK","150","141","134","156","125","152",
"Afghanistan","AFG","Ease of arranging competitively priced international shipments, score (1=low to 5=high)","LP.LPI.ITRN.XQ","1.22222","2.244916","2.332182","1.986686","2.375026","2.104431",
"Afghanistan","AFG","Efficiency of the clearance process, rank (1=highest performer)","LP.LPI.CUST.RK","150","104","99","137","138","158",
"Afghanistan","AFG","Efficiency of the clearance process, score (1=low to 5=high)","LP.LPI.CUST.XQ","1.3","2.223085","2.333617","2.163453","2.011147","1.7349",
"Afghanistan","AFG","Frequency with which shipments reach consignee within scheduled or expected time, rank (1=highest performer)","LP.LPI.TIME.RK","150","146","119","149","137","153",
"Afghanistan","AFG","Frequency with which shipments reach consignee within scheduled or expected time, score (1=low to 5=high)","LP.LPI.TIME.XQ","1.375","2.605503","2.795259","2.482138","2.611203","2.382438",
"Afghanistan","AFG","Logistics performance index: Overall rank (1=highest performance)","LP.LPI.OVRL.RK","150","143","135","158","150","160",
"Afghanistan","AFG","Logistics performance index: Overall rank (1=highest performance), lower bound","LP.LPI.OVRL.RK.LB","","122","117","153","137","155",
"Afghanistan","AFG","Logistics performance index: Overall rank (1=highest performance), upper bound","LP.LPI.OVRL.RK.UB","","150","146","158","155","160",
"Afghanistan","AFG","Logistics performance index: Overall score (1=low to 5=high)","LP.LPI.OVRL.XQ","1.21166935036926","2.24316","2.297272","2.069573","2.141282","1.948565",
"Afghanistan","AFG","Logistics performance index: Overall score (1=low to 5=high), lower bound","LP.LPI.OVRL.XQ.LB","","2.062171","2.12942","1.974845","2.017525","1.790851",
"Afghanistan","AFG","Logistics performance index: Overall score (1=low to 5=high), upper bound","LP.LPI.OVRL.XQ.UB","","2.424148","2.465124","2.164301","2.265038","2.10628",
"Afghanistan","AFG","Logistics performance index: Percent of highest performer)","LP.LPI.OVRL.RK.ZS","6.63470449418892","39.9158759973671","41.5019068639103","34.2594114061479","35.3779812378738","29.6292860346769",
"Afghanistan","AFG","Quality- of trade and transport-related infrastructure, rank (1=highest performer)","LP.LPI.INFR.RK","150","139","141","158","154","158",
"Afghanistan","AFG","Quality of trade- and transport-related infrastructure, score (1=low to 5=high)","LP.LPI.INFR.XQ","1.1","1.873596","2.003611","1.818951","1.835473","1.807143",
"Albania","ALB","Ability to track and trace consignments, rank (1=highest performer)","LP.LPI.TRAC.RK","145","124","88","","135","95",
"Albania","ALB","Ability to track and trace consignments, score (1=low to 5=high)","LP.LPI.TRAC.XQ","1.66667","2.394558","2.64504","","2.151499","2.665647",
"Albania","ALB","Competence and quality of logistics services, rank (1=highest performer)","LP.LPI.LOGS.RK","130","103","91","","102","92",
"Albania","ALB","Competence and quality of logistics services, score (1=low to 5=high)","LP.LPI.LOGS.XQ","2","2.394558","2.646856","","2.484833","2.558898",
"Albania","ALB","Ease of arranging competitively priced international shipments, rank (1=highest performer)","LP.LPI.ITRN.RK","109","104","70","","110","69",
"Albania","ALB","Ease of arranging competitively priced international shipments, score (1=low to 5=high)","LP.LPI.ITRN.XQ","2.33333","2.644558","2.841767","","2.484833","2.823862",
"Albania","ALB","Efficiency of the clearance process, rank (1=highest performer)","LP.LPI.CUST.RK","132","129","86","","121","114",
"Albania","ALB","Efficiency of the clearance process, score (1=low to 5=high)","LP.LPI.CUST.XQ","2","2.071429","2.426877","","2.234391","2.347126",
"Albania","ALB","Frequency with which shipments reach consignee within scheduled or expected time, rank (1=highest performer)","LP.LPI.TIME.RK","144","120","45","","94","73",
"Albania","ALB","Frequency with which shipments reach consignee within scheduled or expected time, score (1=low to 5=high)","LP.LPI.TIME.XQ","2.125","3.012585","3.578028","","3.050476","3.202666",
"Albania","ALB","Logistics performance index: Overall rank (1=highest performance)","LP.LPI.OVRL.RK","139","119","78","","117","88",
"Albania","ALB","Logistics performance index: Overall rank (1=highest performance), lower bound","LP.LPI.OVRL.RK.LB","","83","47","","95","64",
"Albania","ALB","Logistics performance index: Overall rank (1=highest performance), upper bound","LP.LPI.OVRL.RK.UB","","145","112","","139","115",
"Albania","ALB","Logistics performance index: Overall score (1=low to 5=high)","LP.LPI.OVRL.XQ","2.08137637586293","2.459047","2.773218","","2.412498","2.659603",
"Albania","ALB","Logistics performance index: Overall score (1=low to 5=high), lower bound","LP.LPI.OVRL.XQ.LB","","2.220048","2.483402","","2.221823","2.460908",
"Albania","ALB","Logistics performance index: Overall score (1=low to 5=high), upper bound","LP.LPI.OVRL.XQ.UB","","2.698046","3.063033","","2.603174","2.858299",
"Albania","ALB","Logistics performance index: Percent of highest performer)","LP.LPI.OVRL.RK.ZS","33.895378279053","46.8476617059192","56.7282175869126","","43.7852588076691","51.8392013104087",
"Albania","ALB","Quality- of trade and transport-related infrastructure, rank (1=highest performer)","LP.LPI.INFR.RK","78","112","99","","148","110",
"Albania","ALB","Quality of trade- and transport-related infrastructure, score (1=low to 5=high)","LP.LPI.INFR.XQ","2.33333","2.144558","2.426877","","1.980952","2.293674",
