"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Cameroon","Female","2030","UNPD_World Population Prospects_2006 (International projection)","Number","13388105",""
"Cameroon","Female","2025","UNPD_World Population Prospects_2006 (International projection)","Number","12519040",""
"Cameroon","Female","2020","UNPD_World Population Prospects_2006 (International projection)","Number","11638836",""
"Cameroon","Female","2015","UNPD_World Population Prospects_2006 (International projection)","Number","10739154",""
"Cameroon","Female","2010","UNPD_World Population Prospects_2006 (International projection)","Number","9823432",""
"Cameroon","Male","2030","UNPD_World Population Prospects_2006 (International projection)","Number","13503764",""
"Cameroon","Male","2025","UNPD_World Population Prospects_2006 (International projection)","Number","12616906",""
"Cameroon","Male","2020","UNPD_World Population Prospects_2006 (International projection)","Number","11713131",""
"Cameroon","Male","2015","UNPD_World Population Prospects_2006 (International projection)","Number","10786044",""
"Cameroon","Male","2010","UNPD_World Population Prospects_2006 (International projection)","Number","9838559",""

