"Country or Area","Year(s)","Value","Value Footnotes"
"Cameroon","2012","21700",""
"Cameroon","2011","21156",""
"Cameroon","2010","20624",""
"Cameroon","2009","20104",""
"Cameroon","2008","19595",""
"Cameroon","2007","19098",""
"Cameroon","2006","18612",""
"Cameroon","2005","18138",""
"Cameroon","2004","17675",""
"Cameroon","2003","17223",""
"Cameroon","2002","16782",""
"Cameroon","2001","16350",""
"Cameroon","2000","15928",""
"Cameroon","1999","15514",""
"Cameroon","1998","15108",""
"Cameroon","1997","14709",""
"Cameroon","1996","14317",""
"Cameroon","1995","13930",""
"Cameroon","1994","13547",""
"Cameroon","1993","13169",""
"Cameroon","1992","12797",""
"Cameroon","1991","12430",""
"Cameroon","1990","12070",""

