"Country or Area","Year","Value","Value Footnotes"
"Cameroon","2019","24.6",""
"Cameroon","2018","24.6",""
"Cameroon","2017","35.5",""
"Cameroon","2016","32",""
"Cameroon","2015","32.7",""
"Cameroon","2014","34.3",""
"Cameroon","2013","36.2",""
"Cameroon","2012","35.8",""
"Cameroon","2011","40.2",""
"Cameroon","2010","46",""
"Cameroon","2009","128.4",""
"Cameroon","2008","151.5",""
"Cameroon","2007","143.5",""
"Cameroon","2006","150.9",""
"Cameroon","2005","172.1",""
"Cameroon","2004","183.3",""
"Cameroon","2003","193",""

