"Country or Area","Year","Value","Value Footnotes"
"Cameroon","2019","14",""
"Cameroon","2018","14",""
"Cameroon","2017","17",""
"Cameroon","2016","17",""
"Cameroon","2015","17",""
"Cameroon","2014","17",""
"Cameroon","2013","17",""
"Cameroon","2012","17",""
"Cameroon","2011","17",""
"Cameroon","2010","21",""
"Cameroon","2009","36",""
"Cameroon","2008","39",""
"Cameroon","2007","38",""
"Cameroon","2006","45",""
"Cameroon","2005","45",""
"Cameroon","2004","45",""
"Cameroon","2003","45",""

