"Country or Area","Year","Value","Value Footnotes"
"Cameroon","2019","13",""
"Cameroon","2018","13",""
"Cameroon","2017","16",""
"Cameroon","2016","16",""
"Cameroon","2015","16",""
"Cameroon","2014","16",""
"Cameroon","2013","16",""
"Cameroon","2012","16",""
"Cameroon","2011","16",""
"Cameroon","2010","20",""
"Cameroon","2009","35",""
"Cameroon","2008","38",""
"Cameroon","2007","38",""
"Cameroon","2006","45",""
"Cameroon","2005","45",""
"Cameroon","2004","45",""
"Cameroon","2003","45",""

