"Country or Area","Year","Value","Value Footnotes"
"Cameroon","2019","6",""
"Cameroon","2018","6",""
"Cameroon","2017","7",""
"Cameroon","2016","7",""
"Cameroon","2015","7",""
"Cameroon","2014","7",""
"Cameroon","2013","7",""
"Cameroon","2012","7",""
"Cameroon","2011","7",""
"Cameroon","2010","8",""
"Cameroon","2009","11",""
"Cameroon","2008","12",""
"Cameroon","2007","11",""
"Cameroon","2006","11",""
"Cameroon","2005","11",""
"Cameroon","2004","11",""
"Cameroon","2003","11",""

