"Country or Area","Year","Unit","Value","Value Footnotes"
"Cameroon","2007","Thousand hectolitres","450",""
"Cameroon","2006","Thousand hectolitres","462",""
"Cameroon","2005","Thousand hectolitres","481",""
"Cameroon","2004","Thousand hectolitres","479",""
"Cameroon","2003","Thousand hectolitres","486",""
"Cameroon","2002","Thousand hectolitres","493",""
"Cameroon","2001","Thousand hectolitres","435",""
"Cameroon","2000","Thousand hectolitres","318",""
"Cameroon","1999","Thousand hectolitres","243",""

