"Country or Area","Year","Value","Value Footnotes"
"Cameroon","2014","11",""
"Cameroon","2013","6.4",""
"Cameroon","2012","5.69898724036494",""
"Cameroon","2011","5",""
"Cameroon","2010","4.3",""
"Cameroon","2009","3.84",""
"Cameroon","2008","3.4",""
"Cameroon","2007","2.93",""
"Cameroon","2006","2.0287447914719",""
"Cameroon","2005","1.40265422575955",""
"Cameroon","2004","0.976075415490902",""
"Cameroon","2003","0.587622611130454",""
"Cameroon","2002","0.360871584267755",""
"Cameroon","2001","0.277051321848797",""
"Cameroon","2000","0.252120077733662",""
"Cameroon","1999","0.129067580946992",""
"Cameroon","1998","0.0132163405248288",""
"Cameroon","1997","0.00676874429437161",""
"Cameroon","1990","0",""

