"Country or Area","Year","Value","Value Footnotes"
"Cameroon","2018","256.872",""
"Cameroon","2017","262.124",""
"Cameroon","2011","494.747",""
"Cameroon","2010","463.485",""
"Cameroon","2009","435.390042285107",""
"Cameroon","2008","377.477",""
"Cameroon","2007","370",""
"Cameroon","2006","361.935",""
"Cameroon","2005","324",""
"Cameroon","2004","308",""
"Cameroon","2003","319",""
"Cameroon","2002","308.5",""
"Cameroon","2001","302.8",""
"Cameroon","2000","327.1",""
"Cameroon","1999","248.8",""
"Cameroon","1998","281",""
"Cameroon","1997","317",""
"Cameroon","1996","334",""
"Cameroon","1995","399",""

