"Country or Area","Year(s)","RESIDENCE AREA","Value","Value Footnotes"
"Cameroon","2012","Rural","27",""
"Cameroon","2012","Total","45",""
"Cameroon","2012","Urban","62",""
"Cameroon","2010","Rural","27",""
"Cameroon","2010","Total","45",""
"Cameroon","2010","Urban","62",""
"Cameroon","2005","Rural","27",""
"Cameroon","2005","Total","43",""
"Cameroon","2005","Urban","61",""
"Cameroon","2000","Rural","27",""
"Cameroon","2000","Total","42",""
"Cameroon","2000","Urban","61",""
"Cameroon","1995","Rural","27",""
"Cameroon","1995","Total","41",""
"Cameroon","1995","Urban","60",""
"Cameroon","1990","Rural","27",""
"Cameroon","1990","Total","40",""
"Cameroon","1990","Urban","60",""

