"Country or Area","Year","Value","Value Footnotes"
"Cameroon","2019","24.9",""
"Cameroon","2018","25",""
"Cameroon","2017","36",""
"Cameroon","2016","32.4",""
"Cameroon","2015","33.2",""
"Cameroon","2014","34.8",""
"Cameroon","2013","36.6",""
"Cameroon","2012","36.2",""
"Cameroon","2011","40.6",""
"Cameroon","2010","46.4",""
"Cameroon","2009","128.8",""
"Cameroon","2008","151.9",""
"Cameroon","2007","143.5",""
"Cameroon","2006","150.9",""
"Cameroon","2005","172.1",""
"Cameroon","2004","183.3",""
"Cameroon","2003","193",""

