"Country or Area","Year","Value","Value Footnotes"
"Cameroon","2019","5",""
"Cameroon","2018","5",""
"Cameroon","2017","6",""
"Cameroon","2016","6",""
"Cameroon","2015","6",""
"Cameroon","2014","6",""
"Cameroon","2013","6",""
"Cameroon","2012","6",""
"Cameroon","2011","6",""
"Cameroon","2010","7",""
"Cameroon","2009","10",""
"Cameroon","2008","11",""
"Cameroon","2007","11",""
"Cameroon","2006","11",""
"Cameroon","2005","11",""
"Cameroon","2004","11",""
"Cameroon","2003","11",""

