"Country or Area","Year(s)","RESIDENCE AREA","Value","Value Footnotes"
"Cameroon","2012","Rural","52",""
"Cameroon","2012","Total","74",""
"Cameroon","2012","Urban","94",""
"Cameroon","2010","Rural","50",""
"Cameroon","2010","Total","72",""
"Cameroon","2010","Urban","93",""
"Cameroon","2005","Rural","46",""
"Cameroon","2005","Total","67",""
"Cameroon","2005","Urban","89",""
"Cameroon","2000","Rural","42",""
"Cameroon","2000","Total","62",""
"Cameroon","2000","Urban","85",""
"Cameroon","1995","Rural","38",""
"Cameroon","1995","Total","57",""
"Cameroon","1995","Urban","82",""
"Cameroon","1990","Rural","34",""
"Cameroon","1990","Total","51",""
"Cameroon","1990","Urban","78",""

